Account ID,Account Name,Paid / Freemium,Agent AWUs - Week Ending May 9,ACCT_ID_18,Segment_PS,OU,OU+1,OU+2,Total AF->90 Days,SKU Type,,,,,LVL_3_USR_ROLE,User Name
0013000000ZlQsl,EMPRESA DE TECNOLOGIA E INFORMACOES DA PREVIDENCIA S.A. - DATAPREV,Paid,"11,282,796",0013000000ZlQslAAF,PS,LATAM - EVP,LATAM - PS - NP - SVP,LATAM - PS - BR - RVP,Y,Paid SKU with >$0 AOV,Hugo E. Freytes,,BRAZIL,,LATAM - CMRCL - SVP,Rodrigo Cuello Mera
001ed00000SIsEk,Prodesp - Empresa de TI do Estado de SÃ£o Paulo_PPT,Paid,"2,520,035",001ed00000SIsEkAAL,PS,LATAM - EVP,LATAM - PS - NP - SVP,LATAM - PS - BR - RVP,Y,Paid SKU with >$0 AOV,Hugo E. Freytes,ORANGEDOOR IT,BRAZIL,,LATAM - BR - ENTR - SVP,Rodrigo Bessa
0013000001C9skX,Falabella Tecnologia Corporativa SpA,Paid,"2,050,617",0013000001C9skXAAR,ENTR,LATAM - EVP,LATAM - GRW - ENTR - CL - PE - AVP,LATAM - GRW - ENTR - CL - VERT1 - RVP,Y,Paid SKU with >$0 AOV,Guido Ipszman,CALEUFU LLC,LATAM-GROWTH,,LATAM - MX - ENTR - SVP,Phil Sebok
0013y00001cTL3X,"ComunicaciÃ³n Celular, S.A. (Org B2C Industries)",Paid,"1,107,910",0013y00001cTL3XAAW,ENTR,LATAM - EVP,LATAM - GRW - ENTR - CO - AVP,LATAM - GRW - ENTR - CO - VERT1 - RVP,Y,Paid SKU with >$0 AOV,Juan Manuel Mesa,,LATAM-GROWTH,,LATAM - GRW - ENTR - AR - AVP,Silvia Tenazinha
00100000001xZ8l,"Batteries Plus, LLC Corporate Office",Paid,"738,303",00100000001xZ8lAAE,GB,AMER - PACE - PRESIDENT,AMER - PACE - RCG - SVP,AMER - PACE - RCG - CMRCL - GB - AVP,Y,Paid SKU with >$0 AOV,,,,,LATAM - PS - NP - SVP,Hugo E. Freytes
0013000000LXP3q,Info-Tech Research Group. (Main),Paid,"692,008",0013000000LXP3qAAH,GB,AMER - REG - PRESIDENT,AMER - REG - CAN - SVP,AMER - REG - CAN - CMRCL - AVP,Y,Paid SKU with >$0 AOV,,,,,LATAM - GRW - ENTR - CL - PE - AVP,Guido Ipszman
0013y00001cgSyd,McAfee LLC - Service Org,Paid,"654,408",0013y00001cgSydAAE,ENTR,AMER - TMT - EVP,AMER - TMT - STRAT - SVP,AMER - TMT - STRAT - TECH - W2 - AVP,Y,Paid SKU with >$0 AOV,,,,,LATAM - GRW - ENTR - CO - AVP,Juan Manuel Mesa
00100000001CwOi,"Williams-Sonoma, Inc.",Paid,"628,629",00100000001CwOiAAK,ENTR,AMER - PACE - PRESIDENT,AMER - PACE - RCG - SVP,AMER - PACE - RCG - ENTR - RETAIL - AVP,Y,Paid SKU with >$0 AOV,,,,,,
0013000000IknlL,Banco Daycoval S/A,Paid,"611,125",0013000000IknlLAAR,ENTR,LATAM - EVP,LATAM - BR - ENTR - SVP,LATAM - BR - ENTR - VERT1 - FS3 - RVP,Y,Paid SKU with >$0 AOV,Rodrigo Bessa,WPP Agency,BRAZIL,,,
0013000001Fj2fj,"Concesionaria Vuela CompaÃ±Ã­a de AviaciÃ³n, S.A.P.I. de C.V.",Paid,"610,103",0013000001Fj2fjAAB,ENTR,LATAM - EVP,LATAM - MX - ENTR - SVP,LATAM - MX - ENTR - VERT3 - RVP,Y,Paid SKU with >$0 AOV,Phil Sebok,Orange Digital CX,MEXICO,,,
0013y00001fM8I4,Arcos Dourados ComÃ©rcio de Alimentos S.A.(Org 2),Paid,"590,282",0013y00001fM8I4AAK,ENTR,LATAM - EVP,LATAM - BR - ENTR - SVP,LATAM - BR - ENTR - VERT2 - AVP,Y,Paid SKU with >$0 AOV,Rodrigo Bessa,COMPASS.UOL TECNOLOGIA LTDA dba EVERYMIND,BRAZIL,,,
0013y00001gCoZo,"lululemon athletica Canada, Inc.",Paid,"582,725",0013y00001gCoZoAAK,ENTR,AMER - REG - PRESIDENT,AMER - REG - CAN - SVP,AMER - REG - CAN - ENTR - STRAT - AVP,Y,Paid SKU with >$0 AOV,,,,,,
00130000016juBK,"Operadora de Servicios Paquetexpress, SAPI de C.V.",Paid,"564,811",00130000016juBKAAY,GB,LATAM - EVP,LATAM - CMRCL - SVP,LATAM - MX - CMRCL - RVP,Y,Paid SKU with >$0 AOV,Rodrigo Cuello Mera,Freeway,MEXICO,,,
